order_id,order_date,store_id,region,channel,category,product,units,unit_price,discount_pct,unit_cost,customer_segment,payment_method,returned,satisfaction,gross_sales,discount_amount,net_sales,total_cost,gross_profit,margin_pct,is_high_value_order
ORD-001514,2025-01-02,MER-01,Sureste,Tienda,Electrónica,Teclado mecánico,4,1195.46,0.15,722.07,Recurrente,Efectivo,False,5,4781.84,717.28,4064.56,2888.28,1176.28,28.94,False
ORD-002519,2025-01-02,MTY-01,Norte,Tienda,Deportes,Tapete de yoga,2,405.8,0.0,163.78,Recurrente,Efectivo,False,5,811.6,0.0,811.6,327.56,484.04,59.64,False
ORD-002965,2025-01-02,MTY-01,Norte,Tienda,Deportes,Mancuernas 10 kg,3,900.52,0.0,518.31,Recurrente,Tarjeta,False,5,2701.56,0.0,2701.56,1554.93,1146.63,42.44,False
ORD-003046,2025-01-02,CDMX-02,Centro,Tienda,Electrónica,Monitor 24 pulgadas,1,3390.23,0.0,2359.66,Recurrente,Efectivo,False,4,3390.23,0.0,3390.23,2359.66,1030.57,30.4,False
ORD-003413,2025-01-02,MTY-01,Norte,Online,Hogar,Cafetera programable,4,1458.92,0.1,862.57,Empresa,Tarjeta,False,4,5835.68,583.57,5252.11,3450.28,1801.83,34.31,False
ORD-000018,2025-01-03,MTY-02,Norte,Tienda,Electrónica,Monitor 24 pulgadas,2,3325.27,0.2,2328.95,Nuevo,Tarjeta,False,4,6650.54,1330.11,5320.43,4657.9,662.53,12.45,False
ORD-001190,2025-01-03,ZAP-01,Occidente,Tienda,Oficina,Organizador de escritorio,3,277.03,0.1,106.18,Recurrente,Efectivo,False,4,831.09,83.11,747.98,318.54,429.44,57.41,False
ORD-001463,2025-01-03,GDL-01,Occidente,Online,Electrónica,Audífonos Bluetooth,1,722.14,0.2,378.78,Recurrente,Tarjeta,False,4,722.14,144.43,577.71,378.78,198.93,34.43,False
ORD-001875,2025-01-03,GDL-01,Occidente,Tienda,Oficina,Silla ergonómica,3,2938.15,0.1,1850.68,Nuevo,Tarjeta,False,4,8814.45,881.45,7933.0,5552.04,2380.96,30.01,True
ORD-001940,2025-01-03,VER-01,Golfo,Online,Electrónica,Audífonos Bluetooth,4,673.71,0.0,378.28,Nuevo,Tarjeta,True,4,2694.84,0.0,2694.84,1513.12,1181.72,43.85,False
ORD-001987,2025-01-03,CAN-01,Sureste,Tienda,Deportes,Mancuernas 10 kg,1,937.5,0.15,517.21,Recurrente,Tarjeta,False,5,937.5,140.62,796.88,517.21,279.67,35.1,False
ORD-002260,2025-01-03,ZAP-01,Occidente,Tienda,Oficina,Lámpara LED,2,550.65,0.1,233.87,Nuevo,Efectivo,False,4,1101.3,110.13,991.17,467.74,523.43,52.81,False
ORD-003256,2025-01-03,MTY-01,Norte,Tienda,Deportes,Mancuernas 10 kg,5,917.39,0.2,525.18,Recurrente,Tarjeta,False,5,4586.95,917.39,3669.56,2625.9,1043.66,28.44,False
ORD-000349,2025-01-04,MER-01,Sureste,Online,Electrónica,Teclado mecánico,5,1227.57,0.0,711.4,Recurrente,Tarjeta,False,5,6137.85,0.0,6137.85,3557.0,2580.85,42.05,True
ORD-001100,2025-01-04,CDMX-01,Centro,Online,Deportes,Mancuernas 10 kg,2,889.11,0.15,521.05,Nuevo,Tarjeta,False,3,1778.22,266.73,1511.49,1042.1,469.39,31.05,False
ORD-001247,2025-01-04,GDL-02,Occidente,Tienda,Hogar,Juego de sábanas,3,659.79,0.1,309.64,Recurrente,Tarjeta,False,3,1979.37,197.94,1781.43,928.92,852.51,47.86,False
ORD-001993,2025-01-04,CDMX-01,Centro,Tienda,Electrónica,Teclado mecánico,3,1146.02,0.15,722.8,Recurrente,Tarjeta,False,2,3438.06,515.71,2922.35,2168.4,753.95,25.8,False
ORD-002039,2025-01-04,MTY-01,Norte,Tienda,Oficina,Silla ergonómica,5,2958.37,0.1,1836.76,Recurrente,Efectivo,False,4,14791.85,1479.19,13312.66,9183.8,4128.86,31.01,True
ORD-002754,2025-01-04,ZAP-01,Occidente,Tienda,Oficina,Silla ergonómica,3,2990.87,0.0,1827.01,Nuevo,Tarjeta,False,5,8972.61,0.0,8972.61,5481.03,3491.58,38.91,True
ORD-003247,2025-01-04,ZAP-01,Occidente,Tienda,Hogar,Licuadora,2,981.95,0.2,558.48,Recurrente,Tarjeta,False,3,1963.9,392.78,1571.12,1116.96,454.16,28.91,False
ORD-000047,2025-01-05,GDL-01,Occidente,Tienda,Hogar,Juego de sábanas,2,639.21,0.1,314.41,Nuevo,Transferencia,False,5,1278.42,127.84,1150.58,628.82,521.76,45.35,False
ORD-000071,2025-01-05,ZAP-01,Occidente,Tienda,Hogar,Licuadora,3,1025.0,0.1,571.25,Recurrente,Tarjeta,False,5,3075.0,307.5,2767.5,1713.75,1053.75,38.08,False
ORD-000272,2025-01-05,MER-01,Sureste,Tienda,Oficina,Organizador de escritorio,2,279.04,0.2,105.55,Empresa,Efectivo,False,5,558.08,111.62,446.46,211.1,235.36,52.72,False
ORD-001215,2025-01-05,GDL-01,Occidente,Online,Electrónica,Audífonos Bluetooth,1,688.38,0.05,393.38,Recurrente,Tarjeta,False,3,688.38,34.42,653.96,393.38,260.58,39.85,False
ORD-001308,2025-01-05,CHH-01,Norte,Tienda,Deportes,Mochila deportiva,3,723.33,0.1,343.65,Empresa,Tarjeta,False,4,2169.99,217.0,1952.99,1030.95,922.04,47.21,False
ORD-001310,2025-01-05,PUE-01,Centro,Tienda,Oficina,Organizador de escritorio,2,291.62,0.05,103.71,Recurrente,Tarjeta,False,5,583.24,29.16,554.08,207.42,346.66,62.56,False
ORD-001323,2025-01-05,MTY-01,Norte,Tienda,Hogar,Cafetera programable,5,1500.63,0.15,865.5,Recurrente,Tarjeta,False,5,7503.15,1125.47,6377.68,4327.5,2050.18,32.15,True
ORD-001480,2025-01-05,CDMX-02,Centro,Tienda,Electrónica,Audífonos Bluetooth,1,720.38,0.0,387.65,Recurrente,Efectivo,False,4,720.38,0.0,720.38,387.65,332.73,46.19,False
ORD-001537,2025-01-05,GDL-02,Occidente,Tienda,Hogar,Licuadora,4,993.4,0.05,564.63,Recurrente,Efectivo,False,5,3973.6,198.68,3774.92,2258.52,1516.4,40.17,False
ORD-002350,2025-01-05,CHH-01,Norte,Tienda,Deportes,Mochila deportiva,2,753.64,0.05,343.7,Recurrente,Tarjeta,True,4,1507.28,75.36,1431.92,687.4,744.52,51.99,False
ORD-002435,2025-01-05,VER-01,Golfo,Tienda,Deportes,Tapete de yoga,1,386.77,0.05,160.12,Recurrente,Tarjeta,False,5,386.77,19.34,367.43,160.12,207.31,56.42,False
ORD-002901,2025-01-05,PUE-01,Centro,Tienda,Deportes,Mochila deportiva,1,738.68,0.15,340.06,Recurrente,Tarjeta,False,5,738.68,110.8,627.88,340.06,287.82,45.84,False
ORD-000292,2025-01-06,CDMX-02,Centro,Tienda,Electrónica,Monitor 24 pulgadas,3,3412.73,0.1,2404.48,Recurrente,Tarjeta,False,5,10238.19,1023.82,9214.37,7213.44,2000.93,21.72,True
ORD-000466,2025-01-06,MTY-02,Norte,Tienda,Deportes,Mochila deportiva,2,749.72,0.2,333.43,Empresa,Tarjeta,False,5,1499.44,299.89,1199.55,666.86,532.69,44.41,False
ORD-001472,2025-01-06,CHH-01,Norte,Tienda,Electrónica,Monitor 24 pulgadas,2,3250.5,0.15,2346.84,Recurrente,Tarjeta,False,1,6501.0,975.15,5525.85,4693.68,832.17,15.06,False
ORD-002723,2025-01-06,GDL-01,Occidente,Online,Hogar,Licuadora,2,1006.97,0.2,570.93,Nuevo,Tarjeta,False,4,2013.94,402.79,1611.15,1141.86,469.29,29.13,False
ORD-003184,2025-01-06,GDL-01,Occidente,Tienda,Electrónica,Monitor 24 pulgadas,1,3150.94,0.2,2414.08,Nuevo,Tarjeta,False,5,3150.94,630.19,2520.75,2414.08,106.67,4.23,False
ORD-003368,2025-01-06,CDMX-02,Centro,Online,Hogar,Juego de sábanas,3,651.12,0.05,309.71,Nuevo,Efectivo,False,1,1953.36,97.67,1855.69,929.13,926.56,49.93,False
ORD-003596,2025-01-06,MER-01,Sureste,Tienda,Deportes,Mancuernas 10 kg,3,895.05,0.2,520.58,Empresa,Transferencia,False,4,2685.15,537.03,2148.12,1561.74,586.38,27.3,False
ORD-001023,2025-01-07,CDMX-01,Centro,Tienda,Oficina,Lámpara LED,5,581.1,0.15,237.6,Recurrente,Efectivo,False,5,2905.5,435.82,2469.68,1188.0,1281.68,51.9,False
ORD-001037,2025-01-07,PUE-01,Centro,Tienda,Oficina,Lámpara LED,2,522.96,0.0,233.97,Nuevo,Transferencia,False,4,1045.92,0.0,1045.92,467.94,577.98,55.26,False
ORD-001141,2025-01-07,MTY-02,Norte,Tienda,Hogar,Licuadora,3,1015.51,0.2,560.09,Recurrente,Efectivo,False,1,3046.53,609.31,2437.22,1680.27,756.95,31.06,False
ORD-001818,2025-01-07,MTY-02,Norte,Tienda,Oficina,Organizador de escritorio,2,285.14,0.1,103.14,Nuevo,Tarjeta,False,5,570.28,57.03,513.25,206.28,306.97,59.81,False
ORD-001842,2025-01-07,CDMX-02,Centro,Tienda,Hogar,Cafetera programable,3,1581.85,0.0,887.23,Nuevo,Efectivo,False,5,4745.55,0.0,4745.55,2661.69,2083.86,43.91,False
ORD-002356,2025-01-07,CAN-01,Sureste,Tienda,Oficina,Silla ergonómica,2,2870.24,0.15,1874.07,Empresa,Tarjeta,False,4,5740.48,861.07,4879.41,3748.14,1131.27,23.18,False
ORD-000868,2025-01-08,MTY-01,Norte,Tienda,Oficina,Organizador de escritorio,1,301.53,0.15,103.44,Recurrente,Tarjeta,False,3,301.53,45.23,256.3,103.44,152.86,59.64,False
ORD-001241,2025-01-08,CAN-01,Sureste,Tienda,Hogar,Licuadora,1,967.54,0.15,558.94,Recurrente,Efectivo,False,4,967.54,145.13,822.41,558.94,263.47,32.04,False
ORD-001400,2025-01-08,CAN-01,Sureste,Tienda,Hogar,Cafetera programable,2,1564.36,0.0,850.19,Recurrente,Tarjeta,False,4,3128.72,0.0,3128.72,1700.38,1428.34,45.65,False
ORD-001752,2025-01-08,VER-01,Golfo,Tienda,Electrónica,Teclado mecánico,1,1191.89,0.0,720.44,Nuevo,Tarjeta,False,4,1191.89,0.0,1191.89,720.44,471.45,39.55,False
ORD-001898,2025-01-08,CHH-01,Norte,Online,Deportes,Mancuernas 10 kg,3,883.11,0.1,510.33,Nuevo,Tarjeta,False,4,2649.33,264.93,2384.4,1530.99,853.41,35.79,False
ORD-002489,2025-01-08,CHH-01,Norte,Tienda,Oficina,Silla ergonómica,1,3037.97,0.1,1855.94,Recurrente,Efectivo,False,5,3037.97,303.8,2734.17,1855.94,878.23,32.12,False
ORD-002590,2025-01-08,PUE-01,Centro,Tienda,Hogar,Juego de sábanas,5,640.37,0.0,300.99,Recurrente,Tarjeta,False,4,3201.85,0.0,3201.85,1504.95,1696.9,53.0,False
ORD-002713,2025-01-08,GDL-02,Occidente,Tienda,Oficina,Organizador de escritorio,1,280.23,0.1,108.75,Recurrente,Efectivo,False,4,280.23,28.02,252.21,108.75,143.46,56.88,False
ORD-000306,2025-01-09,MTY-01,Norte,Tienda,Deportes,Mancuernas 10 kg,1,848.08,0.2,515.48,Recurrente,Tarjeta,False,5,848.08,169.62,678.46,515.48,162.98,24.02,False
ORD-002484,2025-01-09,CHH-01,Norte,Tienda,Oficina,Lámpara LED,1,544.68,0.2,235.25,Empresa,Efectivo,False,4,544.68,108.94,435.74,235.25,200.49,46.01,False
ORD-003253,2025-01-09,CDMX-02,Centro,Online,Oficina,Silla ergonómica,1,2992.82,0.2,1833.62,Nuevo,Tarjeta,False,4,2992.82,598.56,2394.26,1833.62,560.64,23.42,False
ORD-003308,2025-01-09,GDL-01,Occidente,Online,Deportes,Tapete de yoga,3,414.64,0.0,158.77,Recurrente,Tarjeta,False,3,1243.92,0.0,1243.92,476.31,767.61,61.71,False
ORD-000329,2025-01-10,ZAP-01,Occidente,Tienda,Oficina,Organizador de escritorio,2,290.15,0.0,103.64,Recurrente,Tarjeta,False,4,580.3,0.0,580.3,207.28,373.02,64.28,False
ORD-000981,2025-01-10,PUE-01,Centro,Tienda,Hogar,Licuadora,2,1003.82,0.2,561.41,Empresa,Tarjeta,False,4,2007.64,401.53,1606.11,1122.82,483.29,30.09,False
ORD-001828,2025-01-10,PUE-01,Centro,Online,Hogar,Licuadora,5,954.71,0.0,552.18,Nuevo,Transferencia,True,4,4773.55,0.0,4773.55,2760.9,2012.65,42.16,False
ORD-002281,2025-01-10,PUE-01,Centro,Online,Electrónica,Monitor 24 pulgadas,1,3325.5,0.1,2336.6,Nuevo,Tarjeta,True,3,3325.5,332.55,2992.95,2336.6,656.35,21.93,False
ORD-002568,2025-01-10,CDMX-02,Centro,Tienda,Hogar,Juego de sábanas,2,669.83,0.15,312.89,Nuevo,Transferencia,False,5,1339.66,200.95,1138.71,625.78,512.93,45.04,False
ORD-002906,2025-01-10,MTY-02,Norte,Online,Deportes,Tapete de yoga,1,404.55,0.1,161.18,Recurrente,Tarjeta,False,5,404.55,40.46,364.09,161.18,202.91,55.73,False
ORD-000724,2025-01-11,VER-01,Golfo,Tienda,Deportes,Tapete de yoga,3,399.49,0.3,161.98,Recurrente,Efectivo,False,5,1198.47,359.54,838.93,485.94,352.99,42.08,False
ORD-000760,2025-01-11,ZAP-01,Occidente,Online,Deportes,Mochila deportiva,3,764.81,0.1,337.9,Recurrente,Tarjeta,False,4,2294.43,229.44,2064.99,1013.7,1051.29,50.91,False
ORD-000904,2025-01-11,PUE-01,Centro,Tienda,Oficina,Lámpara LED,2,540.57,0.0,237.84,Recurrente,Tarjeta,False,4,1081.14,0.0,1081.14,475.68,605.46,56.0,False
ORD-000960,2025-01-11,GDL-01,Occidente,Tienda,Oficina,Lámpara LED,2,545.2,0.05,242.38,Recurrente,Tarjeta,False,2,1090.4,54.52,1035.88,484.76,551.12,53.2,False
ORD-000972,2025-01-11,CAN-01,Sureste,Online,Hogar,Licuadora,2,1024.86,0.0,568.31,Empresa,Tarjeta,False,4,2049.72,0.0,2049.72,1136.62,913.1,44.55,False
ORD-001774,2025-01-11,GDL-02,Occidente,Online,Hogar,Juego de sábanas,1,654.42,0.1,315.85,Recurrente,Efectivo,False,3,654.42,65.44,588.98,315.85,273.13,46.37,False
ORD-002831,2025-01-11,CAN-01,Sureste,Tienda,Deportes,Mochila deportiva,2,717.27,0.15,344.23,Recurrente,Efectivo,False,4,1434.54,215.18,1219.36,688.46,530.9,43.54,False
ORD-003412,2025-01-11,GDL-02,Occidente,Tienda,Hogar,Juego de sábanas,1,658.69,0.1,312.0,Nuevo,Transferencia,False,4,658.69,65.87,592.82,312.0,280.82,47.37,False
ORD-003571,2025-01-11,CAN-01,Sureste,Tienda,Hogar,Cafetera programable,1,1533.05,0.2,849.61,Empresa,Tarjeta,False,3,1533.05,306.61,1226.44,849.61,376.83,30.73,False
ORD-000633,2025-01-12,CHH-01,Norte,Online,Oficina,Silla ergonómica,6,2910.68,0.3,1855.23,Nuevo,Transferencia,True,3,17464.08,5239.22,12224.86,11131.38,1093.48,8.94,True
ORD-000805,2025-01-12,CHH-01,Norte,Tienda,Deportes,Tapete de yoga,4,402.88,0.2,158.62,Recurrente,Tarjeta,False,4,1611.52,322.3,1289.22,634.48,654.74,50.79,False
ORD-000876,2025-01-12,CDMX-01,Centro,Tienda,Electrónica,Monitor 24 pulgadas,1,3364.17,0.0,2337.58,Nuevo,Tarjeta,False,4,3364.17,0.0,3364.17,2337.58,1026.59,30.52,False
ORD-001046,2025-01-12,CHH-01,Norte,Tienda,Deportes,Mancuernas 10 kg,2,919.81,0.1,523.38,Recurrente,Tarjeta,False,4,1839.62,183.96,1655.66,1046.76,608.9,36.78,False
ORD-001193,2025-01-12,ZAP-01,Occidente,Online,Electrónica,Audífonos Bluetooth,1,709.06,0.1,377.05,Recurrente,Tarjeta,False,4,709.06,70.91,638.15,377.05,261.1,40.92,False
ORD-001264,2025-01-12,CDMX-02,Centro,Tienda,Oficina,Silla ergonómica,2,2731.15,0.15,1794.54,Nuevo,Tarjeta,False,3,5462.3,819.34,4642.96,3589.08,1053.88,22.7,False
ORD-001543,2025-01-12,MTY-02,Norte,Tienda,Electrónica,Audífonos Bluetooth,3,677.96,0.05,380.97,Nuevo,Tarjeta,False,5,2033.88,101.69,1932.19,1142.91,789.28,40.85,False
ORD-001651,2025-01-12,MER-01,Sureste,Tienda,Oficina,Silla ergonómica,1,2887.24,0.2,1838.64,Nuevo,Tarjeta,False,3,2887.24,577.45,2309.79,1838.64,471.15,20.4,False
ORD-002156,2025-01-12,MTY-02,Norte,Online,Oficina,Silla ergonómica,2,2970.27,0.2,1845.8,Recurrente,Tarjeta,False,3,5940.54,1188.11,4752.43,3691.6,1060.83,22.32,False
ORD-002284,2025-01-12,CHH-01,Norte,Online,Deportes,Mochila deportiva,1,763.49,0.1,344.9,Recurrente,Tarjeta,False,3,763.49,76.35,687.14,344.9,342.24,49.81,False
ORD-002595,2025-01-12,MER-01,Sureste,Online,Oficina,Silla ergonómica,4,3031.8,0.1,1807.19,Recurrente,Tarjeta,False,2,12127.2,1212.72,10914.48,7228.76,3685.72,33.77,True
ORD-003269,2025-01-12,GDL-01,Occidente,Tienda,Deportes,Mochila deportiva,6,769.58,0.0,342.07,Recurrente,Transferencia,False,2,4617.48,0.0,4617.48,2052.42,2565.06,55.55,False
ORD-003282,2025-01-12,PUE-01,Centro,Tienda,Oficina,Organizador de escritorio,1,280.03,0.0,103.33,Recurrente,Tarjeta,False,5,280.03,0.0,280.03,103.33,176.7,63.1,False
ORD-000242,2025-01-13,VER-01,Golfo,Online,Electrónica,Teclado mecánico,5,1200.1,0.15,718.17,Recurrente,Efectivo,True,4,6000.5,900.08,5100.42,3590.85,1509.57,29.6,False
ORD-000320,2025-01-13,CHH-01,Norte,Online,Hogar,Cafetera programable,2,1500.17,0.05,862.04,Recurrente,Transferencia,False,5,3000.34,150.02,2850.32,1724.08,1126.24,39.51,False
ORD-000462,2025-01-13,CAN-01,Sureste,Online,Hogar,Juego de sábanas,1,657.84,0.15,305.68,Recurrente,Efectivo,False,5,657.84,98.68,559.16,305.68,253.48,45.33,False
ORD-000873,2025-01-13,GDL-02,Occidente,Tienda,Deportes,Mochila deportiva,1,774.03,0.15,343.26,Recurrente,Tarjeta,True,3,774.03,116.1,657.93,343.26,314.67,47.83,False
ORD-001417,2025-01-13,MER-01,Sureste,Online,Electrónica,Monitor 24 pulgadas,1,3344.1,0.1,2361.78,Nuevo,Tarjeta,False,4,3344.1,334.41,3009.69,2361.78,647.91,21.53,False
ORD-001845,2025-01-13,CDMX-01,Centro,Tienda,Oficina,Lámpara LED,2,517.25,0.1,238.82,Nuevo,Tarjeta,False,4,1034.5,103.45,931.05,477.64,453.41,48.7,False
ORD-002823,2025-01-13,MER-01,Sureste,Tienda,Electrónica,Audífonos Bluetooth,4,719.73,0.15,386.97,Nuevo,Efectivo,False,5,2878.92,431.84,2447.08,1547.88,899.2,36.75,False
ORD-003255,2025-01-13,CDMX-01,Centro,Tienda,Hogar,Cafetera programable,2,1523.27,0.2,879.49,Recurrente,Efectivo,False,4,3046.54,609.31,2437.23,1758.98,678.25,27.83,False
ORD-003404,2025-01-13,MER-01,Sureste,Online,Oficina,Lámpara LED,1,542.03,0.15,239.3,Nuevo,Efectivo,False,5,542.03,81.3,460.73,239.3,221.43,48.06,False
ORD-000076,2025-01-14,ZAP-01,Occidente,Tienda,Deportes,Mancuernas 10 kg,2,895.08,0.05,521.2,Recurrente,Tarjeta,False,3,1790.16,89.51,1700.65,1042.4,658.25,38.71,False
ORD-000288,2025-01-14,VER-01,Golfo,Tienda,Hogar,Juego de sábanas,1,673.45,0.15,306.98,Empresa,Efectivo,True,5,673.45,101.02,572.43,306.98,265.45,46.37,False
ORD-001628,2025-01-14,CHH-01,Norte,Tienda,Deportes,Tapete de yoga,1,399.55,0.15,161.99,Nuevo,Transferencia,False,4,399.55,59.93,339.62,161.99,177.63,52.3,False
ORD-002796,2025-01-14,VER-01,Golfo,Online,Oficina,Silla ergonómica,1,3005.25,0.1,1835.27,Nuevo,Tarjeta,False,5,3005.25,300.53,2704.72,1835.27,869.45,32.15,False
ORD-000495,2025-01-15,CHH-01,Norte,Tienda,Oficina,Lámpara LED,1,570.16,0.15,241.1,Nuevo,Efectivo,False,4,570.16,85.52,484.64,241.1,243.54,50.25,False
ORD-000926,2025-01-15,CHH-01,Norte,Tienda,Electrónica,Audífonos Bluetooth,3,707.93,0.3,380.03,Recurrente,Tarjeta,False,4,2123.79,637.14,1486.65,1140.09,346.56,23.31,False
ORD-001863,2025-01-15,VER-01,Golfo,Tienda,Deportes,Tapete de yoga,1,398.58,0.0,161.17,Nuevo,Tarjeta,False,5,398.58,0.0,398.58,161.17,237.41,59.56,False
ORD-001948,2025-01-15,CHH-01,Norte,Tienda,Oficina,Organizador de escritorio,6,284.03,0.1,105.16,Recurrente,Tarjeta,False,4,1704.18,170.42,1533.76,630.96,902.8,58.86,False
ORD-002010,2025-01-15,CDMX-02,Centro,Tienda,Oficina,Silla ergonómica,1,2851.13,0.15,1804.79,Empresa,Tarjeta,False,5,2851.13,427.67,2423.46,1804.79,618.67,25.53,False
ORD-003530,2025-01-15,CAN-01,Sureste,Online,Deportes,Mochila deportiva,6,747.95,0.0,343.18,Recurrente,Tarjeta,False,4,4487.7,0.0,4487.7,2059.08,2428.62,54.12,False
ORD-000207,2025-01-16,CDMX-01,Centro,Online,Hogar,Licuadora,3,988.04,0.1,562.96,Recurrente,Efectivo,False,2,2964.12,296.41,2667.71,1688.88,978.83,36.69,False
ORD-000273,2025-01-16,MTY-02,Norte,Tienda,Electrónica,Monitor 24 pulgadas,1,3267.18,0.2,2294.57,Nuevo,Tarjeta,False,4,3267.18,653.44,2613.74,2294.57,319.17,12.21,False
ORD-000299,2025-01-16,PUE-01,Centro,Tienda,Oficina,Organizador de escritorio,3,290.07,0.2,104.84,Nuevo,Tarjeta,False,5,870.21,174.04,696.17,314.52,381.65,54.82,False
ORD-000631,2025-01-16,MER-01,Sureste,Tienda,Oficina,Organizador de escritorio,1,294.05,0.05,103.17,Nuevo,Efectivo,False,5,294.05,14.7,279.35,103.17,176.18,63.07,False
ORD-000837,2025-01-16,MTY-02,Norte,Tienda,Hogar,Juego de sábanas,2,647.83,0.2,308.67,Recurrente,Tarjeta,True,3,1295.66,259.13,1036.53,617.34,419.19,40.44,False
ORD-000978,2025-01-16,GDL-02,Occidente,Online,Electrónica,Monitor 24 pulgadas,2,3315.89,0.05,2370.57,Recurrente,Tarjeta,False,5,6631.78,331.59,6300.19,4741.14,1559.05,24.75,True
ORD-001231,2025-01-16,CHH-01,Norte,Tienda,Hogar,Licuadora,1,990.96,0.05,559.8,Nuevo,Efectivo,True,2,990.96,49.55,941.41,559.8,381.61,40.54,False
ORD-002675,2025-01-16,MTY-01,Norte,Tienda,Hogar,Licuadora,3,980.29,0.0,558.91,Recurrente,Transferencia,False,4,2940.87,0.0,2940.87,1676.73,1264.14,42.99,False
ORD-002963,2025-01-16,GDL-01,Occidente,Tienda,Deportes,Mancuernas 10 kg,2,915.81,0.3,522.3,Recurrente,Efectivo,False,3,1831.62,549.49,1282.13,1044.6,237.53,18.53,False
ORD-003414,2025-01-16,GDL-02,Occidente,Online,Oficina,Organizador de escritorio,3,291.58,0.15,103.92,Recurrente,Transferencia,False,3,874.74,131.21,743.53,311.76,431.77,58.07,False
ORD-000214,2025-01-17,MTY-01,Norte,Tienda,Hogar,Cafetera programable,1,1389.44,0.05,886.73,Empresa,Tarjeta,False,5,1389.44,69.47,1319.97,886.73,433.24,32.82,False
ORD-000243,2025-01-17,MTY-02,Norte,Tienda,Electrónica,Teclado mecánico,5,1241.39,0.05,731.44,Nuevo,Transferencia,False,4,6206.95,310.35,5896.6,3657.2,2239.4,37.98,False
ORD-000519,2025-01-17,VER-01,Golfo,Tienda,Electrónica,Audífonos Bluetooth,4,695.71,0.2,383.93,Recurrente,Tarjeta,False,4,2782.84,556.57,2226.27,1535.72,690.55,31.02,False
ORD-000530,2025-01-17,CHH-01,Norte,Online,Deportes,Mochila deportiva,2,753.79,0.1,344.09,Nuevo,Transferencia,False,4,1507.58,150.76,1356.82,688.18,668.64,49.28,False
