order_id,order_date,store_id,region,channel,category,product,units,unit_price,discount_pct,unit_cost,customer_segment,payment_method,returned,satisfaction
ORD-000676,2025-11-30,GDL-01,Occidente,Tienda,Deportes,Mochila deportiva,5,826.63,0.1,335.67,Recurrente,Tarjeta,False,4.0
ORD-001124,2025-05-22,PUE-01,Centro,Tienda,Oficina,Lámpara LED,2,545.7,0.1,234.39,Nuevo,Tarjeta,False,4.0
ORD-003413,2025-01-02,MTY-01,Norte,Online,Hogar,Cafetera programable,4,1458.92,0.1,862.57,Empresa,Tarjeta,False,4.0
ORD-002928,2025-02-01,GDL-02,Occidente,Online,Oficina,Lámpara LED,1,542.71,0.05,243.02,Nuevo,Efectivo,False,1.0
ORD-002821,2025-03-22,CHH-01,Norte,Tienda,Oficina,Silla ergonómica,2,2900.5,0.15,1849.67,Nuevo,Tarjeta,False,5.0
ORD-000551,2025-12-14,CDMX-01,Centro,Tienda,Hogar,Cafetera programable,3,1666.58,0.0,855.05,Nuevo,Efectivo,False,2.0
ORD-000921,2025-09-11,CDMX-02,Centro,Tienda,Electrónica,Teclado mecánico,2,1183.89,0.2,724.18,Recurrente,Tarjeta,False,4.0
ORD-002915,2025-01-31,ZAP-01,Occidente,Online,Hogar,Cafetera programable,1,1501.54,0.05,879.54,Nuevo,Tarjeta,True,4.0
ORD-003123,2025-05-28,VER-01,Golfo,Tienda,Electrónica,Audífonos Bluetooth,2,702.56,0.0,381.33,Recurrente,Efectivo,False,5.0
ORD-002576,2025-02-19,PUE-01,Centro,Tienda,Hogar,Licuadora,6,964.19,0.05,566.01,Recurrente,Efectivo,False,4.0
ORD-001607,2025-02-24,MTY-02,Norte,Tienda,Deportes,Mancuernas 10 kg,2,880.89,0.05,528.49,Recurrente,Tarjeta,False,3.0
ORD-002849,2025-09-16,MTY-01,Norte,Tienda,Oficina,Organizador de escritorio,5,293.66,0.0,104.51,Nuevo,Efectivo,False,5.0
ORD-002168,2025-06-27,MER-01,Sureste,Tienda,Hogar,Licuadora,3,974.89,0.1,556.64,Recurrente,Efectivo,False,4.0
ORD-000460,2025-09-08,GDL-02,Occidente,Tienda,Hogar,Cafetera programable,3,1495.81,0.0,863.08,Nuevo,Tarjeta,False,5.0
ORD-001921,2025-02-12,ZAP-01,Occidente,Tienda,Electrónica,Monitor 24 pulgadas,4,3365.1,0.15,2410.06,Recurrente,Transferencia,False,5.0
ORD-002528,2025-07-08,CHH-01,Norte,Tienda,Deportes,Mochila deportiva,1,766.44,0.05,342.65,Empresa,Tarjeta,False,5.0
ORD-002465,2025-11-20,CAN-01,Sureste,Online,Electrónica,Audífonos Bluetooth,1,784.63,0.0,386.98,Recurrente,Tarjeta,False,4.0
ORD-002059,2025-11-27,CDMX-01,Centro,Tienda,Electrónica,Monitor 24 pulgadas,1,3576.08,0.2,2380.53,Recurrente,Tarjeta,False,1.0
ORD-000956,2025-05-09,GDL-01,Occidente,Tienda,Hogar,Licuadora,1,983.41,0.05,565.39,Recurrente,Tarjeta,False,4.0
ORD-001905,2025-08-11,GDL-01,Occidente,Tienda,Oficina,Organizador de escritorio,3,284.92,0.05,104.65,Nuevo,Tarjeta,False,3.0
ORD-000526,2025-09-14,GDL-01,Occidente,Online,Oficina,Organizador de escritorio,5,287.31,0.0,105.14,Empresa,Tarjeta,False,4.0
ORD-002656,2025-07-13,MTY-01,Norte,Online,Hogar,Juego de sábanas,1,664.88,0.05,303.46,Recurrente,Efectivo,False,4.0
ORD-001253,2025-04-07,CAN-01,Sureste,Tienda,Deportes,Tapete de yoga,1,405.48,0.15,159.88,Nuevo,Tarjeta,False,3.0
ORD-001006,2025-05-03,GDL-01,Occidente,Tienda,Deportes,Mochila deportiva,3,719.13,0.15,331.24,Recurrente,Tarjeta,False,5.0
ORD-000822,2025-10-31,MTY-02,Norte,Online,Hogar,Juego de sábanas,2,631.82,0.1,306.53,Recurrente,Efectivo,False,5.0
ORD-001024,2025-04-28,VER-01,Golfo,Tienda,Deportes,Mochila deportiva,3,744.34,0.3,333.67,Recurrente,Efectivo,False,4.0
ORD-003068,2025-03-18,CDMX-01,Centro,Tienda,Electrónica,Monitor 24 pulgadas,1,3169.61,0.0,2334.23,Nuevo,Tarjeta,False,5.0
ORD-002809,2025-10-14,MTY-02,Norte,Tienda,Hogar,Juego de sábanas,4,661.67,0.1,311.4,Empresa,Tarjeta,False,3.0
ORD-002646,2025-07-25,ZAP-01,Occidente,Tienda,Hogar,Juego de sábanas,2,638.7,0.1,318.74,Recurrente,Efectivo,False,1.0
ORD-002177,2025-11-07,GDL-01,Occidente,Tienda,Electrónica,Teclado mecánico,1,1379.74,0.1,711.49,Recurrente,Transferencia,False,3.0
ORD-001562,2025-02-28,GDL-01,Occidente,Tienda,Hogar,Juego de sábanas,3,663.0,0.05,301.56,Nuevo,Tarjeta,False,5.0
ORD-002784,2025-06-07,GDL-02,Occidente,Tienda,Electrónica,Teclado mecánico,6,1164.54,0.0,726.73,Nuevo,Tarjeta,False,4.0
ORD-003072,2025-02-11,ZAP-01,Occidente,Tienda,Electrónica,Audífonos Bluetooth,6,679.22,0.0,380.73,Nuevo,Efectivo,False,4.0
ORD-002740,2025-11-13,MTY-01,Norte,Tienda,Oficina,Silla ergonómica,2,3076.79,0.0,1779.16,Recurrente,Tarjeta,False,5.0
ORD-001410,2025-04-19,CAN-01,Sureste,Online,Deportes,Tapete de yoga,2,408.39,0.05,161.55,Recurrente,Efectivo,False,4.0
ORD-001629,2025-01-27,MTY-02,Norte,Tienda,Deportes,Tapete de yoga,5,395.88,0.15,159.87,Empresa,Tarjeta,False,5.0
ORD-000971,2025-11-06,MTY-01,Norte,Tienda,Electrónica,Monitor 24 pulgadas,6,3727.15,0.2,2350.73,Recurrente,Transferencia,False,4.0
ORD-002865,2025-12-24,GDL-02,Occidente,Tienda,Electrónica,Monitor 24 pulgadas,1,3536.04,0.0,2362.38,Recurrente,Tarjeta,False,4.0
ORD-001238,2025-11-22,GDL-01,Occidente,Tienda,Hogar,Juego de sábanas,2,701.36,0.1,311.99,Recurrente,Tarjeta,False,4.0
ORD-001419,2025-10-29,CAN-01,Sureste,Tienda,Electrónica,Audífonos Bluetooth,3,702.65,0.0,385.0,Nuevo,Transferencia,False,5.0
ORD-003354,2025-09-16,ZAP-01,Occidente,Tienda,Hogar,Cafetera programable,6,1475.4,0.05,864.42,Recurrente,Tarjeta,True,4.0
ORD-002065,2025-12-31,VER-01,Golfo,Online,Deportes,Mancuernas 10 kg,1,1004.01,0.05,525.7,Recurrente,Efectivo,False,5.0
ORD-000292,2025-01-06,CDMX-02,Centro,Tienda,Electrónica,Monitor 24 pulgadas,3,3412.73,0.1,2404.48,Recurrente,Tarjeta,False,5.0
ORD-000178,2025-02-02,PUE-01,Centro,Online,Oficina,Silla ergonómica,2,3040.19,0.15,1817.64,Recurrente,Transferencia,False,3.0
ORD-002958,2025-07-10,CDMX-01,Centro,Online,Hogar,Cafetera programable,1,1524.94,0.15,877.56,Nuevo,Tarjeta,False,5.0
ORD-002600,2025-12-27,CHH-01,Norte,Tienda,Electrónica,Teclado mecánico,1,1385.18,0.1,706.49,Recurrente,Transferencia,False,4.0
ORD-002297,2025-12-28,MER-01,Sureste,Tienda,Hogar,Cafetera programable,1,1544.56,0.1,863.66,Recurrente,Transferencia,False,4.0
ORD-002682,2025-07-21,VER-01,Golfo,Tienda,Oficina,Organizador de escritorio,3,294.7,0.1,104.23,Nuevo,Efectivo,True,5.0
ORD-002775,2025-08-09,MTY-01,Norte,Tienda,Hogar,Cafetera programable,3,1514.47,0.0,876.12,Recurrente,Tarjeta,True,4.0
ORD-001684,2025-08-01,GDL-02,Occidente,Tienda,Electrónica,Teclado mecánico,2,1195.82,0.15,721.08,Recurrente,Tarjeta,False,2.0
ORD-002202,2025-04-10,CHH-01,Norte,Tienda,Electrónica,Audífonos Bluetooth,1,689.15,0.05,400.36,Nuevo,Tarjeta,True,4.0
ORD-000624,2025-02-12,VER-01,Golfo,Tienda,Oficina,Organizador de escritorio,3,283.38,0.15,104.34,Nuevo,Efectivo,False,3.0
ORD-003144,2025-02-28,CDMX-01,Centro,Online,Hogar,Cafetera programable,1,1433.94,1.25,856.64,Recurrente,Tarjeta,False,4.0
ORD-002081,2025-04-24,CDMX-01,Centro,Online,Deportes,Mancuernas 10 kg,4,874.13,0.05,514.1,Recurrente,Tarjeta,False,5.0
ORD-003306,2025-06-30,CAN-01,Sureste,Tienda,Electrónica,Teclado mecánico,5,1209.26,0.15,716.24,Recurrente,Tarjeta,False,5.0
ORD-001725,2025-03-14,MTY-01,Norte,Tienda,Oficina,Organizador de escritorio,1,296.51,0.05,104.99,Recurrente,Tarjeta,False,5.0
ORD-001429,2025-11-29,GDL-02,Occidente,Tienda,Electrónica,Teclado mecánico,2,1316.03,0.1,730.41,Recurrente,Transferencia,False,4.0
ORD-002520,2025-03-18,CDMX-02,Centro,Tienda,Hogar,Cafetera programable,2,1514.18,0.1,876.39,Nuevo,Tarjeta,False,4.0
ORD-003564,2025-02-05,MER-01,Sureste,Online,Oficina,Silla ergonómica,1,2931.14,0.1,1787.14,Nuevo,Tarjeta,False,5.0
ORD-000571,2025-11-01,ZAP-01,Occidente,Tienda,Oficina,Silla ergonómica,2,3172.21,0.0,1792.87,Nuevo,Transferencia,False,3.0
ORD-001662,2025-08-23,CAN-01,Sureste,Tienda,Electrónica,Teclado mecánico,1,1172.62,0.3,712.91,Recurrente,Tarjeta,False,3.0
ORD-001972,2025-05-06,ZAP-01,Occidente,Online,Deportes,Mancuernas 10 kg,3,906.33,0.1,519.61,Empresa,Tarjeta,False,4.0
ORD-000039,2025-10-20,CDMX-02,Centro,Tienda,Deportes,Mochila deportiva,2,727.86,0.15,343.55,Recurrente,Tarjeta,False,4.0
ORD-002216,2025-07-16,GDL-01,Occidente,Online,Deportes,Mancuernas 10 kg,3,878.61,0.15,523.53,Empresa,Tarjeta,False,2.0
ORD-001197,2025-06-01,CAN-01,Sureste,Tienda,Electrónica,Teclado mecánico,1,1188.87,0.05,710.13,Recurrente,Transferencia,False,5.0
ORD-000470,2025-10-20,CDMX-01,Centro,Tienda,Oficina,Organizador de escritorio,5,278.4,0.0,103.29,Recurrente,Tarjeta,False,5.0
ORD-002805,2025-11-06,GDL-02,Occidente,Tienda,Hogar,Juego de sábanas,1,695.74,0.2,307.17,Recurrente,Tarjeta,False,5.0
ORD-000659,2025-07-06,CAN-01,Sureste,Tienda,Deportes,Tapete de yoga,5,394.95,0.05,157.2,Nuevo,Efectivo,False,4.0
ORD-000761,2025-01-31,GDL-01,Occidente,Tienda,Oficina,Silla ergonómica,1,2823.36,0.05,1812.74,Nuevo,Efectivo,False,1.0
ORD-001022,2025-08-11,PUE-01,Centro,Tienda,Hogar,Juego de sábanas,1,631.64,0.05,304.87,Nuevo,Efectivo,False,5.0
ORD-000880,2025-01-22,ZAP-01,Occidente,Tienda,Deportes,Mancuernas 10 kg,2,835.45,0.0,523.67,Recurrente,Tarjeta,False,3.0
ORD-001740,2025-12-09,VER-01,Golfo,Online,Deportes,Mochila deportiva,1,845.73,0.1,351.08,Nuevo,Efectivo,False,3.0
ORD-001967,2025-12-04,CHH-01,Norte,Tienda,Oficina,Lámpara LED,1,584.9,0.05,243.26,Recurrente,Tarjeta,False,2.0
ORD-002358,2025-10-07,PUE-01,Centro,Tienda,Oficina,Lámpara LED,1,551.07,0.1,236.19,Recurrente,Tarjeta,False,5.0
ORD-000678,2025-01-05,VER-01,Golfo,Tienda,Electrónica,Audífonos Bluetooth,-1,693.97,0.0,390.21,Recurrente,Tarjeta,False,3.0
ORD-001224,2025-05-14,MER-01,Sureste,Online,Electrónica,Audífonos Bluetooth,1,685.38,0.05,384.36,Nuevo,Efectivo,True,5.0
ORD-001797,2025-04-22,CAN-01,Sureste,Tienda,Electrónica,Teclado mecánico,2,1231.94,0.15,718.36,Nuevo,Tarjeta,False,4.0
ORD-001147,2025-12-29,MTY-01,Norte,Tienda,Hogar,Licuadora,3,1093.68,0.0,560.75,Nuevo,Efectivo,False,2.0
ORD-001087,2025-08-22,CAN-01,Sureste,Online,Oficina,Organizador de escritorio,2,295.8,0.15,103.47,Recurrente,Tarjeta,False,4.0
ORD-000665,2025-10-27,CDMX-02,Centro,Tienda,Deportes,Mochila deportiva,3,719.76,0.0,340.67,Empresa,Efectivo,False,5.0
ORD-002392,2025-04-05,PUE-01,Centro,Tienda,Electrónica,Audífonos Bluetooth,3,683.98,0.1,382.75,Recurrente,Tarjeta,False,4.0
ORD-002880,2025-05-11,MTY-02,Norte,Tienda,Oficina,Lámpara LED,2,540.7,0.0,234.91,Recurrente,Tarjeta,True,4.0
ORD-002009,2025-09-19,VER-01,Golfo,Tienda,Hogar,Cafetera programable,1,1461.5,0.15,876.33,Recurrente,Efectivo,False,5.0
ORD-002472,2025-06-19,CDMX-02,Centro,Tienda,Hogar,Juego de sábanas,1,669.06,0.2,309.84,Recurrente,Tarjeta,False,4.0
ORD-002856,2025-08-17,CAN-01,Sureste,Online,Hogar,Juego de sábanas,2,657.32,0.05,307.84,Recurrente,Efectivo,False,4.0
ORD-003142,2025-02-02,CAN-01,Sureste,Tienda,Hogar,Cafetera programable,1,1539.27,0.3,884.41,Nuevo,Transferencia,False,4.0
ORD-002160,2025-09-11,GDL-02,Occidente,Online,Oficina,Lámpara LED,2,548.39,0.15,236.37,Recurrente,Efectivo,False,4.0
ORD-002574,2025-05-02,PUE-01,Centro,Tienda,Oficina,Silla ergonómica,1,2893.8,0.15,1813.35,Recurrente,Efectivo,False,3.0
ORD-002879,2025-11-25,PUE-01,Centro,Online,Electrónica,Audífonos Bluetooth,1,781.27,0.0,388.67,Recurrente,Transferencia,True,4.0
ORD-003106,2025-06-20,CDMX-02,Centro,Online,Oficina,Organizador de escritorio,2,294.8,0.1,102.68,Empresa,Tarjeta,False,5.0
ORD-001310,2025-01-05,PUE-01,Centro,Tienda,Oficina,Organizador de escritorio,2,291.62,0.05,103.71,Recurrente,Tarjeta,False,5.0
ORD-001822,2025-03-12,CDMX-02,Centro,Tienda,Oficina,Lámpara LED,1,541.66,0.1,244.61,Nuevo,Efectivo,False,5.0
ORD-001419,2025-10-29,CAN-01,Sureste,Tienda,Electrónica,Audífonos Bluetooth,3,702.65,0.0,385.0,Nuevo,Transferencia,False,5.0
ORD-002792,2025-08-16,PUE-01,Centro,Tienda,Oficina,Lámpara LED,6,555.21,0.0,238.92,Recurrente,Tarjeta,False,3.0
ORD-000310,2025-07-15,ZAP-01,Occidente,Online,Hogar,Licuadora,4,1013.45,0.1,554.35,Recurrente,Tarjeta,False,3.0
ORD-002368,2025-05-29,GDL-01,Occidente,Tienda,Oficina,Lámpara LED,1,540.2,0.0,238.08,Recurrente,Tarjeta,False,5.0
ORD-002249,2025-07-20,VER-01,Golfo,Tienda,Oficina,Organizador de escritorio,1,287.41,0.05,105.88,Recurrente,Transferencia,False,3.0
ORD-001115,2025-10-16,GDL-01,Occidente,Tienda,Hogar,Licuadora,6,978.27,0.2,560.12,Recurrente,Efectivo,False,4.0
ORD-001187,2025-07-13,MTY-02,Norte,Tienda,Electrónica,Teclado mecánico,1,1222.9,0.05,719.23,Recurrente,Tarjeta,False,5.0
ORD-003459,2025-01-26,CDMX-01,Centro,Online,Oficina,Silla ergonómica,2,2890.97,0.0,1872.46,Recurrente,Tarjeta,False,3.0
ORD-002801,2025-07-25,VER-01,Golfo,Tienda,Deportes,Mancuernas 10 kg,3,869.32,0.0,510.5,Nuevo,Tarjeta,False,4.0
ORD-001502,2025-08-11,MTY-01,Norte,Online,Oficina,Organizador de escritorio,1,291.29,0.1,107.19,Nuevo,Tarjeta,False,2.0
ORD-000285,2025-01-01,GDL-01,Occidente,Tienda,Hogar,Juego de sábanas,2,643.19,0.3,308.67,Nuevo,Transferencia,False,3.0
ORD-003356,2025-03-14,ZAP-01,Occidente,Tienda,Deportes,Mancuernas 10 kg,2,906.39,0.3,517.38,Recurrente,Tarjeta,False,5.0
ORD-003296,2025-04-30,ZAP-01,Occidente,Online,Hogar,Juego de sábanas,1,650.55,0.15,308.19,Recurrente,Tarjeta,False,2.0
ORD-001146,2025-12-20,PUE-01,Centro,Tienda,Hogar,Juego de sábanas,3,740.18,0.05,312.25,Recurrente,Tarjeta,False,5.0
ORD-001041,2025-07-13,GDL-01,Occidente,Tienda,Oficina,Lámpara LED,3,551.26,0.0,242.77,Empresa,Efectivo,False,5.0
ORD-000660,2025-09-03,MTY-02,Norte,Tienda,Deportes,Mochila deportiva,1,771.77,0.05,338.25,Nuevo,Tarjeta,False,4.0
ORD-003274,2025-12-08,CAN-01,Sureste,Online,Hogar,Licuadora,1,1049.92,0.0,563.4,Recurrente,Efectivo,False,5.0
ORD-002188,2025-09-22,MTY-02,Norte,Tienda,Electrónica,Monitor 24 pulgadas,6,3299.64,0.15,2332.15,Recurrente,Tarjeta,True,4.0
ORD-001602,2025-09-07,MER-01,Sureste,Tienda,Deportes,Mancuernas 10 kg,1,880.46,0.05,520.63,Recurrente,Efectivo,False,5.0
ORD-001770,2025-01-30,MTY-01,Norte,Tienda,Oficina,Organizador de escritorio,2,291.59,0.05,106.75,Recurrente,Tarjeta,True,5.0
ORD-003426,2025-01-24,GDL-02,Occidente,Tienda,Electrónica,Audífonos Bluetooth,6,708.34,0.05,387.18,Nuevo,Tarjeta,False,3.0
ORD-000251,2025-05-03,MTY-02,Norte,Online,Oficina,Lámpara LED,2,549.57,0.0,238.5,Recurrente,Efectivo,False,5.0
ORD-002884,2025-12-15,VER-01,Golfo,Tienda,Electrónica,Teclado mecánico,1,1327.91,0.15,719.5,Empresa,Tarjeta,False,5.0
ORD-003360,2025-08-18,VER-01,Golfo,Tienda,Hogar,Juego de sábanas,1,642.01,0.15,313.41,Recurrente,Tarjeta,False,5.0
ORD-002860,2025-08-04,ZAP-01,Occidente,Tienda,Hogar,Cafetera programable,2,1466.53,0.05,861.08,Recurrente,Efectivo,False,3.0
ORD-000954,2025-09-14,PUE-01,Centro,Tienda,Hogar,Juego de sábanas,4,661.93,0.15,299.84,Empresa,Tarjeta,False,4.0
ORD-003474,2025-09-05,VER-01,Golfo,Tienda,Hogar,Juego de sábanas,5,640.61,0.0,309.67,Nuevo,Tarjeta,False,5.0
ORD-003220,2025-06-13,GDL-01,Occidente,Online,Electrónica,Teclado mecánico,1,1153.07,0.05,707.84,Recurrente,Tarjeta,False,5.0
ORD-003388,2025-07-01,MTY-01,Norte,Online,Hogar,Cafetera programable,2,1498.25,0.05,870.39,Recurrente,Tarjeta,False,3.0
ORD-003093,2025-02-16,GDL-01,,Tienda,Deportes,Mochila deportiva,2,753.42,0.05,340.12,Empresa,Efectivo,False,3.0
ORD-001207,2025-12-26,VER-01,Golfo,Online,Deportes,Tapete de yoga,1,437.96,0.1,158.66,Nuevo,Efectivo,False,5.0
ORD-001105,2025-10-21,PUE-01,,Tienda,Hogar,Cafetera programable,4,1484.53,0.2,888.41,Recurrente,Tarjeta,False,5.0
ORD-003046,2025-01-02,CDMX-02,Centro,Tienda,Electrónica,Monitor 24 pulgadas,1,3390.23,0.0,2359.66,Recurrente,Efectivo,False,4.0
ORD-002163,2025-07-26,CHH-01,Norte,Online,Oficina,Organizador de escritorio,1,284.25,0.0,106.62,Recurrente,Tarjeta,False,5.0
ORD-003148,2025-10-23,MER-01,Sureste,Tienda,Deportes,Tapete de yoga,5,394.67,0.3,157.32,Recurrente,Efectivo,False,4.0
ORD-001328,2025-03-20,GDL-02,Occidente,Tienda,Electrónica,Monitor 24 pulgadas,1,3187.35,0.1,2368.95,Recurrente,Tarjeta,False,2.0
ORD-000617,2025-06-02,CAN-01,Sureste,Online,Electrónica,Monitor 24 pulgadas,4,3295.1,0.15,2352.27,Recurrente,Tarjeta,False,4.0
ORD-000808,2025-08-03,MER-01,Sureste,Online,Hogar,Cafetera programable,3,1494.75,0.2,864.04,Nuevo,Tarjeta,False,4.0
ORD-001164,2025-09-20,CAN-01,Sureste,Tienda,Deportes,Tapete de yoga,4,418.44,0.0,156.91,Recurrente,Efectivo,False,5.0
ORD-000145,2025-02-02,MER-01,Sureste,Tienda,Electrónica,Audífonos Bluetooth,1,701.65,0.1,371.74,Recurrente,Tarjeta,False,5.0
ORD-001837,2025-05-18,PUE-01,Centro,Tienda,Deportes,Mancuernas 10 kg,1,917.88,0.0,534.23,Recurrente,Tarjeta,False,4.0
ORD-003006,2025-06-05,CDMX-02,Centro,Online,Deportes,Mancuernas 10 kg,1,896.89,0.1,528.07,Recurrente,Tarjeta,False,1.0
ORD-000749,2025-02-02,CAN-01,Sureste,Online,Deportes,Mancuernas 10 kg,1,889.47,0.15,513.42,Recurrente,Tarjeta,False,4.0
ORD-002145,2025-09-10,GDL-02,Occidente,Tienda,Deportes,Mochila deportiva,3,752.55,0.1,348.8,Recurrente,Tarjeta,False,4.0
ORD-000737,2025-07-18,PUE-01,Centro,Tienda,Oficina,Silla ergonómica,2,2958.65,0.05,1840.4,Recurrente,Efectivo,False,2.0
ORD-002866,2025-11-23,GDL-01,Occidente,Tienda,Deportes,Mochila deportiva,3,795.56,0.05,338.47,Recurrente,Tarjeta,False,4.0
ORD-000869,2025-06-23,CDMX-02,Centro,Online,Hogar,Licuadora,1,1050.43,0.05,554.32,Nuevo,Tarjeta,False,4.0
ORD-002063,2025-10-05,MER-01,Sureste,Tienda,Electrónica,Teclado mecánico,2,1197.18,0.0,731.84,Nuevo,Tarjeta,False,3.0
ORD-002270,2025-12-22,PUE-01,Centro,Online,Deportes,Tapete de yoga,2,445.78,0.1,158.1,Recurrente,Tarjeta,False,2.0
ORD-002678,2025-03-10,CDMX-02,Centro,Tienda,Oficina,Lámpara LED,1,544.44,0.0,237.93,Empresa,Efectivo,False,1.0
ORD-002636,2025-04-05,CAN-01,Sureste,Tienda,Oficina,Organizador de escritorio,3,285.54,0.1,105.91,Empresa,Tarjeta,False,4.0
ORD-002746,2025-07-02,CDMX-02,Centro,Tienda,Electrónica,Monitor 24 pulgadas,2,3401.72,0.15,2312.2,Nuevo,Transferencia,False,3.0
ORD-002869,2025-07-03,ZAP-01,Occidente,Tienda,Electrónica,Teclado mecánico,2,1197.66,0.1,721.13,Recurrente,Efectivo,False,5.0
ORD-000802,2025-05-16,VER-01,Golfo,Tienda,Hogar,Licuadora,2,1026.69,0.2,563.96,Nuevo,Tarjeta,False,4.0
ORD-001829,2025-03-26,CAN-01,Sureste,Tienda,Hogar,Juego de sábanas,3,627.7,0.0,320.95,Recurrente,Tarjeta,False,5.0
ORD-001825,2025-07-22,ZAP-01,Occidente,Online,Deportes,Mochila deportiva,1,724.8,0.0,343.19,Recurrente,Efectivo,False,
ORD-003550,2025-05-14,PUE-01,Centro,Tienda,Oficina,Organizador de escritorio,1,293.32,0.1,104.22,Recurrente,Efectivo,False,3.0
ORD-002195,2025-09-16,CAN-01,Sureste,Tienda,Deportes,Mancuernas 10 kg,4,867.99,0.05,508.76,Nuevo,Efectivo,False,5.0
ORD-001093,2025-07-12,GDL-01,Occidente,Tienda,Hogar,Juego de sábanas,5,688.88,0.15,304.88,Nuevo,Efectivo,False,5.0
ORD-003340,2025-12-16,MTY-01,Norte,Tienda,Hogar,Cafetera programable,1,1642.66,0.05,860.72,Recurrente,Tarjeta,False,3.0
ORD-002411,2025-09-21,MTY-02,Norte,Tienda,Oficina,Lámpara LED,3,544.47,0.05,242.84,Recurrente,Transferencia,False,4.0
ORD-002855,2025-05-04,GDL-02,Occidente,Online,Electrónica,Teclado mecánico,1,1200.2,0.1,733.01,Empresa,Tarjeta,False,5.0
ORD-000831,2025-04-28,MTY-02,Norte,Tienda,Hogar,Licuadora,5,963.7,0.3,552.0,Recurrente,Efectivo,False,4.0
ORD-001477,2025-03-06,ZAP-01,Occidente,Tienda,Deportes,Mancuernas 10 kg,3,908.63,0.2,528.59,Nuevo,Tarjeta,False,5.0
ORD-002215,2025-12-28,MTY-01,Norte,Online,Electrónica,Audífonos Bluetooth,1,760.66,0.1,383.78,Nuevo,Transferencia,False,5.0
ORD-003110,2025-11-13,MTY-02,Norte,Tienda,Deportes,Mancuernas 10 kg,1,937.85,0.1,521.75,Recurrente,Tarjeta,True,4.0
